"entidad","anio","pib_estatal"
"Aguascalientes","2010",152205.212
"Baja California","2010",428162.546
"Baja California Sur","2010",110656.4
"Campeche","2010",753968.591
"Coahuila de Zaragoza","2010",489951.776
"Colima","2010",81992.178
"Chiapas","2010",270989.331
"Chihuahua","2010",417796.42
"Ciudad de México","2010",2446910.439
"Durango","2010",169268.084
"Guanajuato","2010",517168.681
"Guerrero","2010",211890.535
"Hidalgo","2010",206303.584
"Jalisco","2010",925371.837
"México","2010",1226813.687
"Michoacán de Ocampo","2010",329767.26
"Morelos","2010",174984.467
"Nayarit","2010",97786.134
"Nuevo León","2010",1025184.258
"Oaxaca","2010",228089.144
"Puebla","2010",469967.84
"Querétaro","2010",287403.169
"Quintana Roo","2010",195148.828
"San Luis Potosí","2010",269397.22
"Sinaloa","2010",312655.113
"Sonora","2010",431501.919
"Tabasco","2010",525011.917
"Tamaulipas","2010",448215.116
"Tlaxcala","2010",88809.886
"Veracruz de Ignacio de la Llave","2010",718148.55
"Yucatán","2010",196149.981
"Zacatecas","2010",144730.56
"Aguascalientes","2015",198220.641
"Baja California","2015",511459.528
"Baja California Sur","2015",130520.642
"Campeche","2015",637604.643
"Coahuila de Zaragoza","2015",563928.44
"Colima","2015",95878.066
"Chiapas","2015",287811.831
"Chihuahua","2015",510642.914
"Ciudad de México","2015",2869792.908
"Durango","2015",192888.101
"Guanajuato","2015",653849.926
"Guerrero","2015",229580.566
"Hidalgo","2015",258695.052
"Jalisco","2015",1104884.87
"México","2015",1445183.505
"Michoacán de Ocampo","2015",386038.362
"Morelos","2015",187472.397
"Nayarit","2015",114062.999
"Nuevo León","2015",1228082.513
"Oaxaca","2015",260612.907
"Puebla","2015",540604.128
"Querétaro","2015",362418.911
"Quintana Roo","2015",244081.496
"San Luis Potosí","2015",329359.358
"Sinaloa","2015",358848.314
"Sonora","2015",549606.823
"Tabasco","2015",562212.305
"Tamaulipas","2015",492586.952
"Tlaxcala","2015",96458.62
"Veracruz de Ignacio de la Llave","2015",785745.931
"Yucatán","2015",230374.526
"Zacatecas","2015",159905.359
"Aguascalientes","2020",204820.383
"Baja California","2020",554008.043
"Baja California Sur","2020",121901.971
"Campeche","2020",481969.908
"Coahuila de Zaragoza","2020",535908.391
"Colima","2020",101198.825
"Chiapas","2020",254446.976
"Chihuahua","2020",539798.46
"Ciudad de México","2020",2856971.791
"Durango","2020",189953.176
"Guanajuato","2020",650820.418
"Guerrero","2020",218674.062
"Hidalgo","2020",244145.37
"Jalisco","2020",1126205.873
"México","2020",1488204.23
"Michoacán de Ocampo","2020",397577.179
"Morelos","2020",179752.616
"Nayarit","2020",107339.93
"Nuevo León","2020",1268066.13
"Oaxaca","2020",237528.104
"Puebla","2020",530957.543
"Querétaro","2020",365964.746
"Quintana Roo","2020",222079.057
"San Luis Potosí","2020",341564.629
"Sinaloa","2020",369694.144
"Sonora","2020",550905.96
"Tabasco","2020",464414.365
"Tamaulipas","2020",473823.495
"Tlaxcala","2020",91086.84
"Veracruz de Ignacio de la Llave","2020",738747.441
"Yucatán","2020",242552.378
"Zacatecas","2020",145444.441
