"entidad","anio","remesas_anuales"
"Aguascalientes","2010",293.922
"Aguascalientes","2015",348.227
"Aguascalientes","2020",539.903
"Baja California","2010",347.9566
"Baja California","2015",677.6039
"Baja California","2020",1234.8941
"Baja California Sur","2010",33.7455
"Baja California Sur","2015",51.1961
"Baja California Sur","2020",111.5534
"Campeche","2010",55.0554
"Campeche","2015",56.5474
"Campeche","2020",115.2179
"Chiapas","2010",574.4554
"Chiapas","2015",576.77
"Chiapas","2020",1142.8241
"Chihuahua","2010",397.8418
"Chihuahua","2015",652.7751
"Chihuahua","2020",1278.7298
"Ciudad de México","2010",999.279
"Ciudad de México","2015",1073.2753
"Ciudad de México","2020",2141.5156
"Coahuila","2010",234.0096
"Coahuila","2015",400.9147
"Coahuila","2020",711.2056
"Colima","2010",171.5183
"Colima","2015",228.6449
"Colima","2020",348.2297
"Durango","2010",379.1025
"Durango","2015",593.4632
"Durango","2020",955.2486
"Estado de México","2010",1637.5501
"Estado de México","2015",1559.3305
"Estado de México","2020",2415.6439
"Guanajuato","2010",1981.3321
"Guanajuato","2015",2218.4625
"Guanajuato","2020",3468.7308
"Guerrero","2010",1201.4816
"Guerrero","2015",1276.6865
"Guerrero","2020",1941.8644
"Hidalgo","2010",715.5117
"Hidalgo","2015",727.6947
"Hidalgo","2020",1022.9439
"Jalisco","2010",1755.5694
"Jalisco","2015",2174.1142
"Jalisco","2020",4153.192
"Michoacán","2010",2144.5021
"Michoacán","2015",2487.6195
"Michoacán","2020",4055.6818
"Morelos","2010",554.8597
"Morelos","2015",573.679
"Morelos","2020",756.899
"Nayarit","2010",337.3975
"Nayarit","2015",392.4308
"Nayarit","2020",672.7702
"Nuevo León","2010",283.9829
"Nuevo León","2015",648.6215
"Nuevo León","2020",1024.4229
"Oaxaca","2010",1296.5389
"Oaxaca","2015",1262.9497
"Oaxaca","2020",1897.5656
"Puebla","2010",1371.2222
"Puebla","2015",1335.579
"Puebla","2020",1872.8702
"Querétaro","2010",354.5331
"Querétaro","2015",459.86
"Querétaro","2020",802.1754
"Quintana Roo","2010",86.804
"Quintana Roo","2015",120.8924
"Quintana Roo","2020",239.5019
"San Luis Potosí","2010",629.4701
"San Luis Potosí","2015",847.4235
"San Luis Potosí","2020",1425.1988
"Sinaloa","2010",470.2196
"Sinaloa","2015",528.9253
"Sinaloa","2020",1039.3925
"Sonora","2010",292.0197
"Sonora","2015",399.0395
"Sonora","2020",707.993
"Tabasco","2010",111.3427
"Tabasco","2015",181.1079
"Tabasco","2020",279.49
"Tamaulipas","2010",402.2969
"Tamaulipas","2015",676.6277
"Tamaulipas","2020",944.5516
"Tlaxcala","2010",258.5201
"Tlaxcala","2015",297.1041
"Tlaxcala","2020",244.1887
"TOTAL","2010",21303.8818
"TOTAL","2015",24784.7726
"TOTAL","2020",40604.554
"Veracruz","2010",1237.4372
"Veracruz","2015",1061.4876
"Veracruz","2020",1614.1847
"Yucatán","2010",112.6927
"Yucatán","2015",140.0343
"Yucatán","2020",243.6862
"Zacatecas","2010",581.7119
"Zacatecas","2015",755.6851
"Zacatecas","2020",1202.2851
